"App","PageRoute","PageFile","ServiceFunction","Method","ApiPath","CanonicalPath","Source"
"console","/accounts","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\AccountsPage.tsx","getAccounts","GET","/console/ui/accounts?${q}","/api/v1/console/ui/accounts?${q}","service"
"console","/accounts","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\AccountsPage.tsx","updateAccountRole","PATCH","/console/ui/accounts/${accountId}/role","/api/v1/console/ui/accounts/${accountId}/role","service"
"console","/audit","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\AuditLogPage.tsx","getAuditLog","GET","/console/ui/audit-log?${q}","/api/v1/console/ui/audit-log?${q}","service"
"console","* | /","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DashboardPage.tsx","getDashboard","GET","/console/ui/dashboard","/api/v1/console/ui/dashboard","service"
"console","/devices/:deviceId","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DeviceDetailPage.tsx","blockDevice","POST","/console/ui/devices/${encodeURIComponent(deviceId)}/block","/api/v1/console/ui/devices/${encodeURIComponent(deviceId)}/block","service"
"console","/devices/:deviceId","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DeviceDetailPage.tsx","getDeviceDetail","GET","/console/ui/devices/${encodeURIComponent(deviceId)}/detail","/api/v1/console/ui/devices/${encodeURIComponent(deviceId)}/detail","service"
"console","/devices/:deviceId","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DeviceDetailPage.tsx","unblockDevice","POST","/console/ui/devices/${encodeURIComponent(deviceId)}/unblock","/api/v1/console/ui/devices/${encodeURIComponent(deviceId)}/unblock","service"
"console","/devices","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\DevicesPage.tsx","getDevices","GET","/console/ui/devices?${q}","/api/v1/console/ui/devices?${q}","service"
"console","/features","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx","disableFeature","POST","/console/ui/features/${encodeURIComponent(featureKey)}/disable","/api/v1/console/ui/features/${encodeURIComponent(featureKey)}/disable","service"
"console","/features","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx","getFeatureOverrides","GET","/console/ui/features/overrides","/api/v1/console/ui/features/overrides","service"
"console","/features","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\FeatureRolloutsPage.tsx","upsertFeatureOverride","POST","/console/ui/features/overrides","/api/v1/console/ui/features/overrides","service"
"console","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","blockLicense","POST","/console/ui/licenses/${encodeURIComponent(key)}/block","/api/v1/console/ui/licenses/${encodeURIComponent(key)}/block","service"
"console","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","generateLicenses","POST","/console/ui/licenses/generate","/api/v1/console/ui/licenses/generate","service"
"console","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","getLicenses","GET","/console/ui/licenses?${q}","/api/v1/console/ui/licenses?${q}","service"
"console","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","revokeLicense","POST","/console/ui/licenses/${encodeURIComponent(key)}/revoke","/api/v1/console/ui/licenses/${encodeURIComponent(key)}/revoke","service"
"console","/licenses","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\LicensesPage.tsx","unblockLicense","POST","/console/ui/licenses/${encodeURIComponent(key)}/unblock","/api/v1/console/ui/licenses/${encodeURIComponent(key)}/unblock","service"
"console","/notifications","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\NotificationsPage.tsx","getNotifications","GET","/console/ui/notifications","/api/v1/console/ui/notifications","service"
"console","/notifications","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\NotificationsPage.tsx","markNotificationRead","POST","/console/ui/notifications/${encodeURIComponent(id)}/read","/api/v1/console/ui/notifications/${encodeURIComponent(id)}/read","service"
"console","/plans","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\PlansPage.tsx","getPlans","GET","/console/ui/plans","/api/v1/console/ui/plans","service"
"console","/plans","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\PlansPage.tsx","upsertPlan","PUT","/console/ui/plans/${planId}","/api/v1/console/ui/plans/${planId}","service"
"console","/server","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\ServerPage.tsx","getContainers","GET","/console/ui/server/containers","/api/v1/console/ui/server/containers","service"
"console","/server","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\ServerPage.tsx","getHostInfo","GET","/console/ui/server/host","/api/v1/console/ui/server/host","service"
"console","/telemetry","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\TelemetryPage.tsx","getTelemetry","GET","/console/ui/telemetry?${q}","/api/v1/console/ui/telemetry?${q}","service"
"console","/telemetry","C:\Users\Calvin\Documents\PCWächter\server\console\src\app\pages\TelemetryPage.tsx","getTelemetryChart","GET","/console/ui/telemetry/chart?category=${category}&hours=${hours}","/api/v1/console/ui/telemetry/chart?category=${category}&hours=${hours}","service"
"home","/account/billing","C:\Users\Calvin\Documents\PCWächter\server\home\src\app\account\billing\page.tsx","LOCAL:/api/portal","","","","local-or-unknown"
"home","/account","C:\Users\Calvin\Documents\PCWächter\server\home\src\app\account\page.tsx","getLicenseStatus","GET","/license/status","/api/v1/license/status","service"
"home","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\app\api\checkout\route.ts","getPlans","GET","/console/public/plans","/api/v1/console/public/plans","service"
"home","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\app\api\license-status\route.ts","getLicenseStatus","GET","/license/status","/api/v1/license/status","service"
"home","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\components\PricingTable.tsx","LOCAL:/api/checkout","","","","local-or-unknown"
"home","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\lib\api.ts","getLicenseStatus","GET","/license/status","/api/v1/license/status","service"
"home","unknown","C:\Users\Calvin\Documents\PCWächter\server\home\src\lib\api.ts","getPlans","GET","/console/public/plans","/api/v1/console/public/plans","service"
